id,subject,start,end,teachers,location
1,Основы профессиональной коммуникации на иностранном языке,20.05.2026 14:30,20.05.2026 16:05,Макарова А.А.,Б-303
2,Численные методы (дополнительные главы),23.05.2026 12:45,23.05.2026 14:20,Саманчук В.Н.,К-312
3,Безопасность жизнедеятельности,23.05.2026 15:20,23.05.2026 17:50,Сурц П.П.,Э-220
4,Теория игр,25.05.2026 11:55,25.05.2026 13:30,Колобашкина Л.В.,В-416
5,Теория нелинейных систем регулирования,25.05.2026 14:30,25.05.2026 17:00,Ктиров С.В.,К-312
6,Анализ систем массового обслуживания,26.05.2026 10:15,26.05.2026 11:50,Колобашкина Л.В.,В-416
7,Математические модели физических процессов,26.05.2026 12:45,26.05.2026 14:20,Загребаев А.М.,К-312
8,Введение в теорию нейронных сетей,27.05.2026 16:15,27.05.2026 17:50,Трофимов А.Г.,К-310
9,Основы WEB-программирования,28.05.2026 08:30,28.05.2026 11:00,Букалин А.О.,К-312
10,Математическое моделирование,28.05.2026 11:55,28.05.2026 14:20,Козин Р.Г.,К-312
11,ФК Психология лидерства,28.05.2026 17:55,28.05.2026 19:30,Паршин И.А.,К-207
12,ФК Основы военной подготовки,29.05.2026 10:15,29.05.2026 11:50,,каф.52
13,Физическая культура (элективная дисциплина),29.05.2026 11:55,29.05.2026 13:30,,каф.15/3
14,Производственная практика: МО информационных систем,29.05.2026 14:30,29.05.2026 16:05,"Козин Р.Г., Ктиров С.В., Рамазанов Р.Н., Загребаев А.М., Трифоненков А.В., Букалин А.О., Овсянников Н.В., Саманчук В.Н.",каф.22
15,Производственная практика: МО сложных технических систем,29.05.2026 14:30,29.05.2026 16:05,"Саманчук В.Н., Овсянников Н.В., Букалин А.О., Загребаев А.М., Козин Р.Г., Ктиров С.В., Рамазанов Р.Н., Трифоненков А.В.",каф.22
16,Производственная практика: МО ядерно-энергетических систем,29.05.2026 14:30,29.05.2026 16:05,"Овсянников Н.В., Букалин А.О., Загребаев А.М., Козин Р.Г., Ктиров С.В., Рамазанов Р.Н., Саманчук В.Н., Трифоненков А.В.",каф.22
17,ФК Программирование на Rust,29.05.2026 18:45,29.05.2026 20:20,Чугунков И.В.,ДОТ
18,Основы профессиональной коммуникации на иностранном языке,05.06.2026 09:00,05.06.2026 13:00,"Борисова В.А., Игнатьева А.А., Журавлева Н.А.",Б-303
19,Анализ систем массового обслуживания,10.06.2026 09:00,10.06.2026 13:00,Колобашкина Л.В.,В-416
20,Теория игр,15.06.2026 09:00,15.06.2026 13:00,Колобашкина Л.В.,В-416
21,Численные методы (дополнительные главы),20.06.2026 09:00,20.06.2026 13:00,Саманчук В.Н.,К-312
22,Математические модели физических процессов,25.06.2026 09:00,25.06.2026 13:00,Загребаев А.М.,К-312
